OBJECTID,REGC2022_V1_00,REGC2022_V1_00_NAME,REGC2022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
1,01,Northland Region,Northland Region,12507.88841,30084.27324,811359.8458,30084271285
2,02,Auckland Region,Auckland Region,4941.127913,16156.20627,660973.433,16156208405
3,03,Waikato Region,Waikato Region,23901.09146,34888.83171,1268419.752,34888829327
4,04,Bay of Plenty Region,Bay of Plenty Region,12071.99801,21883.74837,1093733.912,21883747205
5,05,Gisborne Region,Gisborne Region,8385.292752,13989.04987,695915.7118,13989051055
6,06,Hawke's Bay Region,Hawke's Bay Region,14139.14579,21444.16754,928781.3862,21444163419
7,07,Taranaki Region,Taranaki Region,7254.507305,12696.95591,564434.1509,12696953422
8,08,Manawatū-Whanganui Region,Manawatu-Whanganui Region,22220.66606,25322.20522,1176437.116,25322173628
9,09,Wellington Region,Wellington Region,8049.437805,15945.28114,579215.5207,15945317715
10,12,West Coast Region,West Coast Region,23245.65359,36339.58415,1582116.637,36339586087
11,13,Canterbury Region,Canterbury Region,44503.87923,56773.94371,1543748.803,56773943923
12,14,Otago Region,Otago Region,31186.33066,38514.35062,1277271.007,38514354185
13,15,Southland Region,Southland Region,31218.2689,55237.98278,1403396.538,55237977821
14,16,Tasman Region,Tasman Region,9616.361874,14800.2563,759488.9868,14800254978
15,17,Nelson Region,Nelson Region,422.1936008,1234.786213,170202.3967,1234785118
16,18,Marlborough Region,Marlborough Region,10457.792,17688.80451,766973.9595,17688806946
17,99,Area Outside Region,Area Outside Region,798.8411809,15759.50011,664121.3374,15759499549
